Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Boot1","K2-1808SN-A4SW-01","KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL",76.194250,-30.699000,0.000000,top
"C1","100nF","C_0402",61.815250,-20.589000,0.000000,top
"C2","100nF","C_0402",58.589250,-20.777500,90.000000,top
"C3","100nF","C_0402",56.608250,-20.625000,90.000000,top
"C4","100nF","C_0402",51.020250,-24.181000,180.000000,top
"C5","100nF","C_0402",50.294250,-28.699000,180.000000,top
"C6","100nF","C_0402",50.484250,-26.259000,180.000000,top
"C7","100nF","C_0402",53.306250,-32.729000,180.000000,top
"C8","100nF","C_0402",66.184250,-23.599000,180.000000,top
"C9","100nF","C_0603",66.554250,-26.799000,180.000000,top
"C10","4.7uF","C_0603",66.206750,-30.104000,90.000000,top
"C11","4.7uF","C_0402",66.614250,-32.959000,180.000000,top
"C12","4.7uF","C_0603",65.007250,-30.098000,90.000000,top
"C13","100nF","C_0402",58.787250,-33.960000,90.000000,top
"C14","100nF","C_0402",57.934250,-33.939000,90.000000,top
"C15","100nF","C_0603",83.704250,-33.259000,0.000000,top
"C16","100nF","C_0402",69.309250,-26.919000,0.000000,top
"C17","15pF","C_0402",48.254250,-28.269000,-90.000000,top
"C18","15pF","C_0402",48.234250,-26.099000,-90.000000,top
"C19","4.7uF","C_0402",71.034250,-32.919000,180.000000,top
"C20","10uF","C_0603_1608Metric",93.322000,-61.826000,-90.000000,top
"C21","100nF","C_0603_1608Metric",90.812000,-61.826000,-90.000000,top
"C22","10uF","C_0603_1608Metric",40.561000,2.169000,-90.000000,top
"C23","100nF","C_0603_1608Metric",38.051000,2.169000,-90.000000,top
"C24","10uF","C_0603_1608Metric",81.257000,-43.030000,90.000000,top
"C25","100nF","C_0603_1608Metric",85.321000,-43.030000,90.000000,top
"C36","100nF","C_0402",62.774250,-32.759000,180.000000,top
"C37","10uF","C_0603",86.934250,-25.619000,90.000000,top
"C38","100nF","C_0603",80.734250,-25.759000,90.000000,top
"C39","100nF","C_0603",88.134250,-25.939000,90.000000,top
"C40","10uF","C_0603",82.034250,-25.819000,90.000000,top
"D1","~","POWERDI-123_L2.8-W1.8-LS3.7-RD",87.746750,-33.439000,0.000000,top
"D2","RCLAMP0521P.TCT-MS","D0402-BI",72.184250,-30.609000,180.000000,top
"D3","RCLAMP0521P.TCT-MS","D0402-BI",70.154250,-30.919000,90.000000,top
"D4","~","POWERDI-123_L2.8-W1.8-LS3.7-RD",91.207500,-46.150000,180.000000,top
"D5","~","POWERDI-123_L2.8-W1.8-LS3.7-RD",91.207500,-43.030000,180.000000,top
"J3","Conn_02x10_Odd_Even","PinSocket_2x10_P2.54mm_Vertical_SMD",81.430000,6.000000,-90.000000,top
"J4","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",92.780000,-5.460000,-90.000000,top
"J5","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",89.257148,-55.574255,-90.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",58.524000,6.500000,-90.000000,top
"L1","~","IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T",68.234250,-30.039000,90.000000,top
"LED25","Red","LED_0603_1608Metric",95.608000,12.596000,-90.000000,top
"P1","CocoEdgeConnector","CocoCardEdgeCocoMIDI",0.021000,-27.034000,0.000000,top
"PWR_LED1","Red","D_0603",94.444250,-21.339000,0.000000,top
"R1","5.1kΩ","R_0402_1005Metric",88.384250,-29.109000,0.000000,top
"R2","33Ω","R_0402_1005Metric",71.314250,-29.079000,0.000000,top
"R3","33Ω","R_0402_1005Metric",71.324250,-28.139000,0.000000,top
"R4","5.1kΩ","R_0402_1005Metric",89.234250,-25.139000,-90.000000,top
"R5","1kΩ","R_0402_1005Metric",80.834250,-33.239000,0.000000,top
"R6","33Ω","R_0402_1005Metric",64.674250,-32.939000,0.000000,top
"R7","1Ω","R_0603",73.334250,-32.839000,0.000000,top
"R8","200Ω","R_0603",78.634250,-33.539000,-90.000000,top
"R9","2kΩ","R_0402_1005Metric",95.862000,6.500000,-90.000000,top
"R10","2kΩ","R_0402_1005Metric",95.862000,9.294000,-90.000000,top
"R11","100kΩ","R_0402_1005Metric",87.734000,-23.599000,180.000000,top
"R12","2kΩ","R_0402_1005Metric",85.734250,-22.939000,180.000000,top
"R13","10kΩ","R_0402_1005Metric",55.984000,3.198000,90.000000,top
"R14","10kΩ","R_0402_1005Metric",48.364000,3.198000,90.000000,top
"R28","1kΩ","R_0603",50.385250,-27.610000,0.000000,top
"Reset1","K2-1808SN-A4SW-01","KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL",82.334250,-30.769000,180.000000,top
"U1","~","QFN-80_L10.0-W10.0-P0.40-TL-EP3.4",58.383854,-27.109891,-90.000000,top
"U2","HC-1.0-3PWT","CONN-SMD_SM03B-SRSS-TB-LF-SN-P",24.414250,-27.059000,-90.000000,top
"U3","~","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",84.534250,-25.139000,0.000000,top
"U4","W25Q128","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL",75.174250,-25.339000,90.000000,top
"U5","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",31.919000,5.992000,0.000000,top
"USB1","~","USB-C-SMD_TYPE-C-6PIN-2MD-073",92.676250,-27.483000,90.000000,top
"X1","~","CRYSTAL-SMD_4P-L3.2-W2.5-BL",45.504250,-27.129000,-90.000000,top
